CurrencyRateID,CurrencyRateDate,FromCurrencyCode,ToCurrencyCode,AverageRate,EndOfDayRate,ModifiedDate
37,2011-06-02 00:00:00.0000000,"USD","MXN",9.3550,9.3550,2011-06-02 00:00:00.0000000
38,2011-06-02 00:00:00.0000000,"USD","SAR",3.7505,3.7570,2011-06-02 00:00:00.0000000
39,2011-06-02 00:00:00.0000000,"USD","VEB",634.7500,634.7999,2011-06-02 00:00:00.0000000
40,2011-06-03 00:00:00.0000000,"USD","ARS",1.0000,1.0000,2011-06-03 00:00:00.0000000
41,2011-06-03 00:00:00.0000000,"USD","AUD",1.5645,1.5634,2011-06-03 00:00:00.0000000
42,2011-06-03 00:00:00.0000000,"USD","BRL",1.9295,1.9250,2011-06-03 00:00:00.0000000
43,2011-06-03 00:00:00.0000000,"USD","CAD",1.4672,1.4609,2011-06-03 00:00:00.0000000
44,2011-06-03 00:00:00.0000000,"USD","CNY",8.2783,8.2782,2011-06-03 00:00:00.0000000
45,2011-06-03 00:00:00.0000000,"USD","DEM",1.8811,1.8801,2011-06-03 00:00:00.0000000
46,2011-06-03 00:00:00.0000000,"USD","EUR",0.9617,0.9617,2011-06-03 00:00:00.0000000
47,2011-06-03 00:00:00.0000000,"USD","FRF",6.3090,6.3080,2011-06-03 00:00:00.0000000
48,2011-06-03 00:00:00.0000000,"USD","GBP",0.6163,0.6159,2011-06-03 00:00:00.0000000
49,2011-06-03 00:00:00.0000000,"USD","JPY",105.7700,105.6820,2011-06-03 00:00:00.0000000
50,2011-06-03 00:00:00.0000000,"USD","MXN",9.3460,9.3369,2011-06-03 00:00:00.0000000
51,2011-06-03 00:00:00.0000000,"USD","SAR",3.7492,3.7416,2011-06-03 00:00:00.0000000
52,2011-06-03 00:00:00.0000000,"USD","VEB",635.7500,635.6599,2011-06-03 00:00:00.0000000
53,2011-06-04 00:00:00.0000000,"USD","ARS",1.0000,1.0004,2011-06-04 00:00:00.0000000
54,2011-06-04 00:00:00.0000000,"USD","AUD",1.5667,1.5670,2011-06-04 00:00:00.0000000
55,2011-06-04 00:00:00.0000000,"USD","BRL",1.9319,1.9370,2011-06-04 00:00:00.0000000
56,2011-06-04 00:00:00.0000000,"USD","CAD",1.4640,1.4673,2011-06-04 00:00:00.0000000
57,2011-06-04 00:00:00.0000000,"USD","CNY",8.2784,8.2788,2011-06-04 00:00:00.0000000
58,2011-06-04 00:00:00.0000000,"USD","DEM",1.8978,1.8984,2011-06-04 00:00:00.0000000
59,2011-06-04 00:00:00.0000000,"USD","EUR",0.9704,0.9711,2011-06-04 00:00:00.0000000
60,2011-06-04 00:00:00.0000000,"USD","FRF",6.3654,6.3658,2011-06-04 00:00:00.0000000
61,2011-06-04 00:00:00.0000000,"USD","GBP",0.6185,0.6186,2011-06-04 00:00:00.0000000
62,2011-06-04 00:00:00.0000000,"USD","JPY",106.1100,106.1820,2011-06-04 00:00:00.0000000
63,2011-06-04 00:00:00.0000000,"USD","MXN",9.3350,9.3369,2011-06-04 00:00:00.0000000
64,2011-06-04 00:00:00.0000000,"USD","SAR",3.7507,3.7606,2011-06-04 00:00:00.0000000
65,2011-06-04 00:00:00.0000000,"USD","VEB",636.2500,636.3300,2011-06-04 00:00:00.0000000
66,2011-06-05 00:00:00.0000000,"USD","ARS",1.0000,0.9995,2011-06-05 00:00:00.0000000
67,2011-06-05 00:00:00.0000000,"USD","AUD",1.5642,1.5636,2011-06-05 00:00:00.0000000
68,2011-06-05 00:00:00.0000000,"USD","BRL",1.9330,1.9250,2011-06-05 00:00:00.0000000
69,2011-06-05 00:00:00.0000000,"USD","CAD",1.4641,1.4563,2011-06-05 00:00:00.0000000
70,2011-06-05 00:00:00.0000000,"USD","CNY",8.2784,8.2780,2011-06-05 00:00:00.0000000
71,2011-06-05 00:00:00.0000000,"USD","DEM",1.9007,1.8997,2011-06-05 00:00:00.0000000
72,2011-06-05 00:00:00.0000000,"USD","EUR",0.9718,0.9715,2011-06-05 00:00:00.0000000
73,2011-06-05 00:00:00.0000000,"USD","FRF",6.3746,6.3742,2011-06-05 00:00:00.0000000
74,2011-06-05 00:00:00.0000000,"USD","GBP",0.6179,0.6173,2011-06-05 00:00:00.0000000
75,2011-06-05 00:00:00.0000000,"USD","JPY",106.4200,106.4030,2011-06-05 00:00:00.0000000
76,2011-06-05 00:00:00.0000000,"USD","MXN",9.3350,9.3270,2011-06-05 00:00:00.0000000
77,2011-06-05 00:00:00.0000000,"USD","SAR",3.7507,3.7500,2011-06-05 00:00:00.0000000
78,2011-06-05 00:00:00.0000000,"USD","VEB",636.2500,636.2500,2011-06-05 00:00:00.0000000
79,2011-06-06 00:00:00.0000000,"USD","ARS",1.0000,1.0005,2011-06-06 00:00:00.0000000
80,2011-06-06 00:00:00.0000000,"USD","AUD",1.5645,1.5652,2011-06-06 00:00:00.0000000
81,2011-06-06 00:00:00.0000000,"USD","BRL",1.9330,1.9379,2011-06-06 00:00:00.0000000
82,2011-06-06 00:00:00.0000000,"USD","CAD",1.4621,1.4661,2011-06-06 00:00:00.0000000
83,2011-06-06 00:00:00.0000000,"USD","CNY",8.2784,8.2784,2011-06-06 00:00:00.0000000
84,2011-06-06 00:00:00.0000000,"USD","DEM",1.8987,1.8990,2011-06-06 00:00:00.0000000
85,2011-06-06 00:00:00.0000000,"USD","EUR",0.9708,0.9716,2011-06-06 00:00:00.0000000
86,2011-06-06 00:00:00.0000000,"USD","FRF",6.3678,6.3681,2011-06-06 00:00:00.0000000
87,2011-06-06 00:00:00.0000000,"USD","GBP",0.6177,0.6179,2011-06-06 00:00:00.0000000
88,2011-06-06 00:00:00.0000000,"USD","JPY",106.3800,106.4479,2011-06-06 00:00:00.0000000
89,2011-06-06 00:00:00.0000000,"USD","MXN",9.3350,9.3439,2011-06-06 00:00:00.0000000
90,2011-06-06 00:00:00.0000000,"USD","SAR",3.7509,3.7566,2011-06-06 00:00:00.0000000
91,2011-06-06 00:00:00.0000000,"USD","VEB",636.2500,636.2899,2011-06-06 00:00:00.0000000
92,2011-06-07 00:00:00.0000000,"USD","ARS",1.0000,0.9998,2011-06-07 00:00:00.0000000
93,2011-06-07 00:00:00.0000000,"USD","AUD",1.5679,1.5678,2011-06-07 00:00:00.0000000
94,2011-06-07 00:00:00.0000000,"USD","BRL",1.9330,1.9230,2011-06-07 00:00:00.0000000
95,2011-06-07 00:00:00.0000000,"USD","CAD",1.4623,1.4604,2011-06-07 00:00:00.0000000
96,2011-06-07 00:00:00.0000000,"USD","CNY",8.2784,8.2779,2011-06-07 00:00:00.0000000
97,2011-06-07 00:00:00.0000000,"USD","DEM",1.8965,1.8957,2011-06-07 00:00:00.0000000
98,2011-06-07 00:00:00.0000000,"USD","EUR",0.9697,0.9690,2011-06-07 00:00:00.0000000
99,2011-06-07 00:00:00.0000000,"USD","FRF",6.3605,6.3605,2011-06-07 00:00:00.0000000
100,2011-06-07 00:00:00.0000000,"USD","GBP",0.6171,0.6163,2011-06-07 00:00:00.0000000
101,2011-06-07 00:00:00.0000000,"USD","JPY",105.7400,105.7159,2011-06-07 00:00:00.0000000
102,2011-06-07 00:00:00.0000000,"USD","MXN",9.3250,9.3230,2011-06-07 00:00:00.0000000
103,2011-06-07 00:00:00.0000000,"USD","SAR",3.7507,3.7410,2011-06-07 00:00:00.0000000
104,2011-06-07 00:00:00.0000000,"USD","VEB",636.3999,636.3200,2011-06-07 00:00:00.0000000
105,2011-06-08 00:00:00.0000000,"USD","ARS",1.0000,1.0008,2011-06-08 00:00:00.0000000
106,2011-06-08 00:00:00.0000000,"USD","AUD",1.5726,1.5734,2011-06-08 00:00:00.0000000
107,2011-06-08 00:00:00.0000000,"USD","BRL",1.9330,1.9339,2011-06-08 00:00:00.0000000
108,2011-06-08 00:00:00.0000000,"USD","CAD",1.4658,1.4752,2011-06-08 00:00:00.0000000
109,2011-06-08 00:00:00.0000000,"USD","CNY",8.2783,8.2786,2011-06-08 00:00:00.0000000
110,2011-06-08 00:00:00.0000000,"USD","DEM",1.8967,1.8971,2011-06-08 00:00:00.0000000
111,2011-06-08 00:00:00.0000000,"USD","EUR",0.9697,0.9706,2011-06-08 00:00:00.0000000
112,2011-06-08 00:00:00.0000000,"USD","FRF",6.3611,6.3613,2011-06-08 00:00:00.0000000
113,2011-06-08 00:00:00.0000000,"USD","GBP",0.6159,0.6163,2011-06-08 00:00:00.0000000
114,2011-06-08 00:00:00.0000000,"USD","JPY",104.4700,104.5400,2011-06-08 00:00:00.0000000
115,2011-06-08 00:00:00.0000000,"USD","MXN",9.3399,9.3399,2011-06-08 00:00:00.0000000
116,2011-06-08 00:00:00.0000000,"USD","SAR",3.7507,3.7555,2011-06-08 00:00:00.0000000
117,2011-06-08 00:00:00.0000000,"USD","VEB",636.7500,636.8400,2011-06-08 00:00:00.0000000
118,2011-06-09 00:00:00.0000000,"USD","ARS",1.0000,0.9998,2011-06-09 00:00:00.0000000
119,2011-06-09 00:00:00.0000000,"USD","AUD",1.5810,1.5810,2011-06-09 00:00:00.0000000
120,2011-06-09 00:00:00.0000000,"USD","BRL",1.9290,1.9199,2011-06-09 00:00:00.0000000
121,2011-06-09 00:00:00.0000000,"USD","CAD",1.4678,1.4588,2011-06-09 00:00:00.0000000
122,2011-06-09 00:00:00.0000000,"USD","CNY",8.2783,8.2779,2011-06-09 00:00:00.0000000
123,2011-06-09 00:00:00.0000000,"USD","DEM",1.9117,1.9109,2011-06-09 00:00:00.0000000
124,2011-06-09 00:00:00.0000000,"USD","EUR",0.9774,0.9770,2011-06-09 00:00:00.0000000
125,2011-06-09 00:00:00.0000000,"USD","FRF",6.4115,6.4109,2011-06-09 00:00:00.0000000
126,2011-06-09 00:00:00.0000000,"USD","GBP",0.6191,0.6189,2011-06-09 00:00:00.0000000
127,2011-06-09 00:00:00.0000000,"USD","JPY",104.5600,104.5480,2011-06-09 00:00:00.0000000
128,2011-06-09 00:00:00.0000000,"USD","MXN",9.3070,9.2989,2011-06-09 00:00:00.0000000
129,2011-06-09 00:00:00.0000000,"USD","SAR",3.7507,3.7502,2011-06-09 00:00:00.0000000
130,2011-06-09 00:00:00.0000000,"USD","VEB",637.2500,637.1699,2011-06-09 00:00:00.0000000
131,2011-06-10 00:00:00.0000000,"USD","ARS",1.0000,1.0004,2011-06-10 00:00:00.0000000
132,2011-06-10 00:00:00.0000000,"USD","AUD",1.5768,1.5772,2011-06-10 00:00:00.0000000
133,2011-06-10 00:00:00.0000000,"USD","BRL",1.9299,1.9310,2011-06-10 00:00:00.0000000
134,2011-06-10 00:00:00.0000000,"USD","CAD",1.4679,1.4738,2011-06-10 00:00:00.0000000
135,2011-06-10 00:00:00.0000000,"USD","CNY",8.2370,8.2379,2011-06-10 00:00:00.0000000
136,2011-06-10 00:00:00.0000000,"USD","DEM",1.9192,1.9194,2011-06-10 00:00:00.0000000
137,2011-06-10 00:00:00.0000000,"USD","EUR",0.9812,0.9812,2011-06-10 00:00:00.0000000
138,2011-06-10 00:00:00.0000000,"USD","FRF",6.4366,6.4366,2011-06-10 00:00:00.0000000
139,2011-06-10 00:00:00.0000000,"USD","GBP",0.6202,0.6210,2011-06-10 00:00:00.0000000
140,2011-06-10 00:00:00.0000000,"USD","JPY",104.4100,104.4590,2011-06-10 00:00:00.0000000
141,2011-06-10 00:00:00.0000000,"USD","MXN",9.3100,9.3109,2011-06-10 00:00:00.0000000
142,2011-06-10 00:00:00.0000000,"USD","SAR",3.7507,3.7597,2011-06-10 00:00:00.0000000
143,2011-06-10 00:00:00.0000000,"USD","VEB",637.5000,637.5700,2011-06-10 00:00:00.0000000
144,2011-06-11 00:00:00.0000000,"USD","ARS",1.0000,0.9991,2011-06-11 00:00:00.0000000
145,2011-06-11 00:00:00.0000000,"USD","AUD",1.5701,1.5694,2011-06-11 00:00:00.0000000
146,2011-06-11 00:00:00.0000000,"USD","BRL",1.9265,1.9219,2011-06-11 00:00:00.0000000
147,2011-06-11 00:00:00.0000000,"USD","CAD",1.4672,1.4662,2011-06-11 00:00:00.0000000
148,2011-06-11 00:00:00.0000000,"USD","CNY",8.2370,8.2369,2011-06-11 00:00:00.0000000
149,2011-06-11 00:00:00.0000000,"USD","DEM",1.9292,1.9287,2011-06-11 00:00:00.0000000
150,2011-06-11 00:00:00.0000000,"USD","EUR",0.9864,0.9859,2011-06-11 00:00:00.0000000
151,2011-06-11 00:00:00.0000000,"USD","FRF",6.4702,6.4695,2011-06-11 00:00:00.0000000
152,2011-06-11 00:00:00.0000000,"USD","GBP",0.6208,0.6200,2011-06-11 00:00:00.0000000
153,2011-06-11 00:00:00.0000000,"USD","JPY",103.9900,103.9090,2011-06-11 00:00:00.0000000
154,2011-06-11 00:00:00.0000000,"USD","MXN",9.3599,9.3520,2011-06-11 00:00:00.0000000
155,2011-06-11 00:00:00.0000000,"USD","SAR",3.7505,3.7492,2011-06-11 00:00:00.0000000
156,2011-06-11 00:00:00.0000000,"USD","VEB",637.7500,637.7500,2011-06-11 00:00:00.0000000
157,2011-06-12 00:00:00.0000000,"USD","ARS",1.0000,1.0004,2011-06-12 00:00:00.0000000
158,2011-06-12 00:00:00.0000000,"USD","AUD",1.5686,1.5687,2011-06-12 00:00:00.0000000
159,2011-06-12 00:00:00.0000000,"USD","BRL",1.9239,1.9270,2011-06-12 00:00:00.0000000
160,2011-06-12 00:00:00.0000000,"USD","CAD",1.4678,1.4714,2011-06-12 00:00:00.0000000
161,2011-06-12 00:00:00.0000000,"USD","CNY",8.2370,8.2373,2011-06-12 00:00:00.0000000
162,2011-06-12 00:00:00.0000000,"USD","DEM",1.9231,1.9236,2011-06-12 00:00:00.0000000
163,2011-06-12 00:00:00.0000000,"USD","EUR",0.9832,0.9834,2011-06-12 00:00:00.0000000
164,2011-06-12 00:00:00.0000000,"USD","FRF",6.4499,6.4505,2011-06-12 00:00:00.0000000
165,2011-06-12 00:00:00.0000000,"USD","GBP",0.6231,0.6232,2011-06-12 00:00:00.0000000
166,2011-06-12 00:00:00.0000000,"USD","JPY",101.8500,101.9230,2011-06-12 00:00:00.0000000
167,2011-06-12 00:00:00.0000000,"USD","MXN",9.3599,9.3599,2011-06-12 00:00:00.0000000
168,2011-06-12 00:00:00.0000000,"USD","SAR",3.7507,3.7524,2011-06-12 00:00:00.0000000
169,2011-06-12 00:00:00.0000000,"USD","VEB",638.5000,638.5800,2011-06-12 00:00:00.0000000
170,2011-06-13 00:00:00.0000000,"USD","ARS",1.0000,0.9992,2011-06-13 00:00:00.0000000
171,2011-06-13 00:00:00.0000000,"USD","AUD",1.5769,1.5767,2011-06-13 00:00:00.0000000
172,2011-06-13 00:00:00.0000000,"USD","BRL",1.9239,1.9179,2011-06-13 00:00:00.0000000
173,2011-06-13 00:00:00.0000000,"USD","CAD",1.4683,1.4644,2011-06-13 00:00:00.0000000
174,2011-06-13 00:00:00.0000000,"USD","CNY",8.2370,8.2367,2011-06-13 00:00:00.0000000
175,2011-06-13 00:00:00.0000000,"USD","DEM",1.9265,1.9262,2011-06-13 00:00:00.0000000
176,2011-06-13 00:00:00.0000000,"USD","EUR",0.9849,0.9844,2011-06-13 00:00:00.0000000
177,2011-06-13 00:00:00.0000000,"USD","FRF",6.4614,6.4607,2011-06-13 00:00:00.0000000
178,2011-06-13 00:00:00.0000000,"USD","GBP",0.6229,0.6227,2011-06-13 00:00:00.0000000
179,2011-06-13 00:00:00.0000000,"USD","JPY",102.5500,102.4929,2011-06-13 00:00:00.0000000
180,2011-06-13 00:00:00.0000000,"USD","MXN",9.3599,9.3580,2011-06-13 00:00:00.0000000
181,2011-06-13 00:00:00.0000000,"USD","SAR",3.7507,3.7448,2011-06-13 00:00:00.0000000
182,2011-06-13 00:00:00.0000000,"USD","VEB",638.5000,638.4199,2011-06-13 00:00:00.0000000
183,2011-06-14 00:00:00.0000000,"USD","ARS",1.0000,1.0007,2011-06-14 00:00:00.0000000
184,2011-06-14 00:00:00.0000000,"USD","AUD",1.5708,1.5708,2011-06-14 00:00:00.0000000
185,2011-06-14 00:00:00.0000000,"USD","BRL",1.9239,1.9250,2011-06-14 00:00:00.0000000
186,2011-06-14 00:00:00.0000000,"USD","CAD",1.4724,1.4738,2011-06-14 00:00:00.0000000
187,2011-06-14 00:00:00.0000000,"USD","CNY",8.2370,8.2375,2011-06-14 00:00:00.0000000
188,2011-06-14 00:00:00.0000000,"USD","DEM",1.9345,1.9353,2011-06-14 00:00:00.0000000
189,2011-06-14 00:00:00.0000000,"USD","EUR",0.9890,0.9897,2011-06-14 00:00:00.0000000
190,2011-06-14 00:00:00.0000000,"USD","FRF",6.4882,6.4886,2011-06-14 00:00:00.0000000
191,2011-06-14 00:00:00.0000000,"USD","GBP",0.6238,0.6243,2011-06-14 00:00:00.0000000
192,2011-06-14 00:00:00.0000000,"USD","JPY",102.3300,102.3940,2011-06-14 00:00:00.0000000
193,2011-06-14 00:00:00.0000000,"USD","MXN",9.3499,9.3510,2011-06-14 00:00:00.0000000
194,2011-06-14 00:00:00.0000000,"USD","SAR",3.7505,3.7595,2011-06-14 00:00:00.0000000
195,2011-06-14 00:00:00.0000000,"USD","VEB",638.5000,638.5299,2011-06-14 00:00:00.0000000
196,2011-06-15 00:00:00.0000000,"USD","ARS",1.0000,0.9990,2011-06-15 00:00:00.0000000
197,2011-06-15 00:00:00.0000000,"USD","AUD",1.5741,1.5739,2011-06-15 00:00:00.0000000
198,2011-06-15 00:00:00.0000000,"USD","BRL",1.9239,1.9139,2011-06-15 00:00:00.0000000
199,2011-06-15 00:00:00.0000000,"USD","CAD",1.4742,1.4723,2011-06-15 00:00:00.0000000
200,2011-06-15 00:00:00.0000000,"USD","CNY",8.2370,8.2367,2011-06-15 00:00:00.0000000
201,2011-06-15 00:00:00.0000000,"USD","DEM",1.9393,1.9391,2011-06-15 00:00:00.0000000
202,2011-06-15 00:00:00.0000000,"USD","EUR",0.9916,0.9907,2011-06-15 00:00:00.0000000
203,2011-06-15 00:00:00.0000000,"USD","FRF",6.5042,6.5038,2011-06-15 00:00:00.0000000
204,2011-06-15 00:00:00.0000000,"USD","GBP",0.6256,0.6247,2011-06-15 00:00:00.0000000
205,2011-06-15 00:00:00.0000000,"USD","JPY",102.0900,102.0550,2011-06-15 00:00:00.0000000
206,2011-06-15 00:00:00.0000000,"USD","MXN",9.3499,9.3430,2011-06-15 00:00:00.0000000
207,2011-06-15 00:00:00.0000000,"USD","SAR",3.7505,3.7496,2011-06-15 00:00:00.0000000
208,2011-06-15 00:00:00.0000000,"USD","VEB",638.5000,638.5000,2011-06-15 00:00:00.0000000
209,2011-06-16 00:00:00.0000000,"USD","ARS",1.0000,1.0007,2011-06-16 00:00:00.0000000
210,2011-06-16 00:00:00.0000000,"USD","AUD",1.5706,1.5712,2011-06-16 00:00:00.0000000
211,2011-06-16 00:00:00.0000000,"USD","BRL",1.9239,1.9330,2011-06-16 00:00:00.0000000
212,2011-06-16 00:00:00.0000000,"USD","CAD",1.4744,1.4755,2011-06-16 00:00:00.0000000
213,2011-06-16 00:00:00.0000000,"USD","CNY",8.2370,8.2372,2011-06-16 00:00:00.0000000
214,2011-06-16 00:00:00.0000000,"USD","DEM",1.9378,1.9379,2011-06-16 00:00:00.0000000
215,2011-06-16 00:00:00.0000000,"USD","EUR",0.9908,0.9911,2011-06-16 00:00:00.0000000
216,2011-06-16 00:00:00.0000000,"USD","FRF",6.4991,6.4999,2011-06-16 00:00:00.0000000
217,2011-06-16 00:00:00.0000000,"USD","GBP",0.6252,0.6256,2011-06-16 00:00:00.0000000
218,2011-06-16 00:00:00.0000000,"USD","JPY",102.3400,102.4060,2011-06-16 00:00:00.0000000
219,2011-06-16 00:00:00.0000000,"USD","MXN",9.3499,9.3499,2011-06-16 00:00:00.0000000
220,2011-06-16 00:00:00.0000000,"USD","SAR",3.7505,3.7545,2011-06-16 00:00:00.0000000
221,2011-06-16 00:00:00.0000000,"USD","VEB",638.5000,638.5499,2011-06-16 00:00:00.0000000
222,2011-06-17 00:00:00.0000000,"USD","ARS",1.0000,0.9991,2011-06-17 00:00:00.0000000
223,2011-06-17 00:00:00.0000000,"USD","AUD",1.5792,1.5786,2011-06-17 00:00:00.0000000
224,2011-06-17 00:00:00.0000000,"USD","BRL",1.9239,1.9219,2011-06-17 00:00:00.0000000
225,2011-06-17 00:00:00.0000000,"USD","CAD",1.4800,1.4702,2011-06-17 00:00:00.0000000
226,2011-06-17 00:00:00.0000000,"USD","CNY",8.2370,8.2370,2011-06-17 00:00:00.0000000
227,2011-06-17 00:00:00.0000000,"USD","DEM",1.9443,1.9441,2011-06-17 00:00:00.0000000
228,2011-06-17 00:00:00.0000000,"USD","EUR",0.9940,0.9939,2011-06-17 00:00:00.0000000
229,2011-06-17 00:00:00.0000000,"USD","FRF",6.5210,6.5208,2011-06-17 00:00:00.0000000
230,2011-06-17 00:00:00.0000000,"USD","GBP",0.6254,0.6248,2011-06-17 00:00:00.0000000
231,2011-06-17 00:00:00.0000000,"USD","JPY",102.5700,102.5420,2011-06-17 00:00:00.0000000
232,2011-06-17 00:00:00.0000000,"USD","MXN",9.3499,9.3480,2011-06-17 00:00:00.0000000
233,2011-06-17 00:00:00.0000000,"USD","SAR",3.7505,3.7442,2011-06-17 00:00:00.0000000
234,2011-06-17 00:00:00.0000000,"USD","VEB",638.5000,638.4800,2011-06-17 00:00:00.0000000
235,2011-06-18 00:00:00.0000000,"USD","ARS",1.0000,1.0001,2011-06-18 00:00:00.0000000
236,2011-06-18 00:00:00.0000000,"USD","AUD",1.5823,1.5831,2011-06-18 00:00:00.0000000
237,2011-06-18 00:00:00.0000000,"USD","BRL",1.9239,1.9330,2011-06-18 00:00:00.0000000
238,2011-06-18 00:00:00.0000000,"USD","CAD",1.4802,1.4861,2011-06-18 00:00:00.0000000
239,2011-06-18 00:00:00.0000000,"USD","CNY",8.2370,8.2378,2011-06-18 00:00:00.0000000
240,2011-06-18 00:00:00.0000000,"USD","DEM",1.9531,1.9531,2011-06-18 00:00:00.0000000
241,2011-06-18 00:00:00.0000000,"USD","EUR",0.9986,0.9990,2011-06-18 00:00:00.0000000
242,2011-06-18 00:00:00.0000000,"USD","FRF",6.5503,6.5511,2011-06-18 00:00:00.0000000
243,2011-06-18 00:00:00.0000000,"USD","GBP",0.6248,0.6254,2011-06-18 00:00:00.0000000
244,2011-06-18 00:00:00.0000000,"USD","JPY",102.4700,102.4770,2011-06-18 00:00:00.0000000
245,2011-06-18 00:00:00.0000000,"USD","MXN",9.3499,9.3580,2011-06-18 00:00:00.0000000
246,2011-06-18 00:00:00.0000000,"USD","SAR",3.7505,3.7578,2011-06-18 00:00:00.0000000
247,2011-06-18 00:00:00.0000000,"USD","VEB",638.5000,638.5099,2011-06-18 00:00:00.0000000
248,2011-06-19 00:00:00.0000000,"USD","ARS",1.0000,0.9993,2011-06-19 00:00:00.0000000
249,2011-06-19 00:00:00.0000000,"USD","AUD",1.5825,1.5822,2011-06-19 00:00:00.0000000
250,2011-06-19 00:00:00.0000000,"USD","BRL",1.9239,1.9179,2011-06-19 00:00:00.0000000
251,2011-06-19 00:00:00.0000000,"USD","CAD",1.4823,1.4817,2011-06-19 00:00:00.0000000
252,2011-06-19 00:00:00.0000000,"USD","CNY",8.2370,8.2367,2011-06-19 00:00:00.0000000
253,2011-06-19 00:00:00.0000000,"USD","DEM",1.9519,1.9516,2011-06-19 00:00:00.0000000
254,2011-06-19 00:00:00.0000000,"USD","EUR",0.9980,0.9973,2011-06-19 00:00:00.0000000
255,2011-06-19 00:00:00.0000000,"USD","FRF",6.5465,6.5456,2011-06-19 00:00:00.0000000
256,2011-06-19 00:00:00.0000000,"USD","GBP",0.6248,0.6245,2011-06-19 00:00:00.0000000
