PurchaseOrderID,RevisionNumber,Status,EmployeeID,VendorID,ShipMethodID,OrderDate,ShipDate,SubTotal,TaxAmt,Freight,TotalDue,ModifiedDate
39,4,4,252,1626,2,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,7132.1250,570.5700,178.3031,7880.9981,2012-01-25 00:00:00.0000000
40,4,4,260,1542,2,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,28343.7000,2267.4960,708.5925,31319.7885,2012-01-25 00:00:00.0000000
41,4,4,258,1610,4,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,22516.7250,1801.3380,562.9181,24880.9811,2012-01-25 00:00:00.0000000
42,5,4,254,1638,5,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,34644.2250,2771.5380,866.1056,38281.8686,2012-01-25 00:00:00.0000000
43,4,4,257,1582,5,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,427.9275,34.2342,10.6982,472.8599,2012-01-25 00:00:00.0000000
44,4,3,261,1510,5,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,143.0415,11.4433,3.5760,158.0608,2012-01-25 00:00:00.0000000
45,4,4,250,1526,2,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,28199.3250,2255.9460,704.9831,31160.2541,2012-01-25 00:00:00.0000000
46,4,4,253,1644,1,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,3713.3250,297.0660,92.8331,4103.2241,2012-01-25 00:00:00.0000000
47,4,4,255,1680,5,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,63831.0750,5106.4860,1595.7769,70533.3379,2012-01-25 00:00:00.0000000
48,4,4,256,1584,5,2012-01-16 00:00:00.0000000,2012-01-25 00:00:00.0000000,16340.3100,1307.2248,408.5078,18056.0426,2012-01-25 00:00:00.0000000
49,4,4,259,1620,5,2012-01-20 00:00:00.0000000,2012-01-29 00:00:00.0000000,5711.4750,456.9180,142.7869,6311.1799,2012-01-29 00:00:00.0000000
50,5,4,260,1666,5,2012-01-20 00:00:00.0000000,2012-01-29 00:00:00.0000000,429.3450,34.3476,10.7336,474.4262,2012-01-29 00:00:00.0000000
51,4,4,258,1592,2,2012-01-20 00:00:00.0000000,2012-01-29 00:00:00.0000000,97.9650,7.8372,2.4491,108.2513,2012-01-29 00:00:00.0000000
52,4,4,254,1618,4,2012-01-20 00:00:00.0000000,2012-01-29 00:00:00.0000000,114.4710,9.1577,2.8618,126.4905,2012-01-29 00:00:00.0000000
53,4,4,252,1612,4,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,132.6465,10.6117,3.3162,146.5744,2012-02-02 00:00:00.0000000
54,6,3,261,1586,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,43878.4500,3510.2760,1096.9613,48485.6873,2012-02-02 00:00:00.0000000
55,4,4,251,1500,1,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,418.9500,33.5160,10.4738,462.9398,2012-02-02 00:00:00.0000000
56,4,4,253,1656,4,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,525.7665,42.0613,13.1442,580.9720,2012-02-02 00:00:00.0000000
57,4,4,255,1572,1,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,461.7900,36.9432,11.5448,510.2780,2012-02-02 00:00:00.0000000
58,4,4,256,1562,4,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,630.3780,50.4302,15.7595,696.5677,2012-02-02 00:00:00.0000000
59,9,4,259,1662,2,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,37.0755,2.9660,0.9269,40.9684,2012-02-02 00:00:00.0000000
60,4,4,260,1682,4,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,21558.0750,1724.6460,538.9519,23821.6729,2012-02-02 00:00:00.0000000
61,4,4,258,1686,4,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,507.0870,40.5670,12.6772,560.3312,2012-02-02 00:00:00.0000000
62,4,4,254,1684,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,41048.7000,3283.8960,1026.2175,45358.8135,2012-02-02 00:00:00.0000000
63,4,4,257,1534,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,429.3450,34.3476,10.7336,474.4262,2012-02-02 00:00:00.0000000
64,5,3,261,1614,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,279.1530,22.3322,6.9788,308.4640,2012-02-02 00:00:00.0000000
65,4,4,251,1588,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,40471.2000,3237.6960,1011.7800,44720.6760,2012-02-02 00:00:00.0000000
66,5,4,253,1622,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,563.5665,45.0853,14.0892,622.7410,2012-02-02 00:00:00.0000000
67,4,4,255,1632,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,62092.8000,4967.4240,1552.3200,68612.5440,2012-02-02 00:00:00.0000000
68,5,4,256,1608,5,2012-01-24 00:00:00.0000000,2012-02-02 00:00:00.0000000,5948.2500,475.8600,148.7063,6572.8163,2012-02-02 00:00:00.0000000
69,4,4,259,1576,5,2012-01-25 00:00:00.0000000,2012-02-03 00:00:00.0000000,91117.9500,7289.4360,2277.9488,100685.3348,2012-02-03 00:00:00.0000000
70,5,4,260,1590,1,2012-01-25 00:00:00.0000000,2012-02-03 00:00:00.0000000,525.0000,42.0000,13.1250,580.1250,2012-02-03 00:00:00.0000000
71,4,4,258,1514,5,2012-01-25 00:00:00.0000000,2012-02-03 00:00:00.0000000,2003.6835,160.2947,50.0921,2214.0703,2012-02-03 00:00:00.0000000
72,4,4,254,1498,4,2012-01-25 00:00:00.0000000,2012-02-03 00:00:00.0000000,26455.2750,2116.4220,661.3819,29233.0789,2012-02-03 00:00:00.0000000
73,4,4,257,1674,2,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,944.3700,75.5496,23.6093,1043.5289,2012-02-18 00:00:00.0000000
74,6,3,261,1652,4,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,44594.5500,3567.5640,1114.8638,49276.9778,2012-02-18 00:00:00.0000000
75,4,4,251,1578,3,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,62843.5500,5027.4840,1571.0888,69442.1228,2012-02-18 00:00:00.0000000
76,4,4,253,1538,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,37843.5750,3027.4860,946.0894,41817.1504,2012-02-18 00:00:00.0000000
77,4,4,252,1556,4,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,25531.2750,2042.5020,638.2819,28212.0589,2012-02-18 00:00:00.0000000
78,4,4,256,1554,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,694.1655,55.5332,17.3541,767.0528,2012-02-18 00:00:00.0000000
79,4,4,259,1688,4,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,125.7480,10.0598,3.1437,138.9515,2012-02-18 00:00:00.0000000
80,4,4,260,1580,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,150.7905,12.0632,3.7698,166.6235,2012-02-18 00:00:00.0000000
81,4,4,258,1496,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,560.0070,44.8006,14.0002,618.8078,2012-02-18 00:00:00.0000000
82,5,4,254,1494,2,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,8847.3000,707.7840,221.1825,9776.2665,2012-02-18 00:00:00.0000000
83,4,4,257,1650,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,171.0765,13.6861,4.2769,189.0395,2012-02-18 00:00:00.0000000
84,4,3,261,1654,4,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,20397.3000,1631.7840,509.9325,22539.0165,2012-02-18 00:00:00.0000000
85,4,4,251,1664,3,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,14628.0750,1170.2460,365.7019,16164.0229,2012-02-18 00:00:00.0000000
86,5,4,253,1678,3,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,58685.5500,4694.8440,1467.1388,64847.5328,2012-02-18 00:00:00.0000000
87,4,4,255,1616,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,773.0100,61.8408,19.3253,854.1761,2012-02-18 00:00:00.0000000
88,5,4,252,1492,5,2012-02-09 00:00:00.0000000,2012-02-18 00:00:00.0000000,656.5860,52.5269,16.4147,725.5276,2012-02-18 00:00:00.0000000
89,4,4,259,1602,5,2012-02-23 00:00:00.0000000,2012-03-03 00:00:00.0000000,1796.0355,143.6828,44.9009,1984.6192,2012-03-03 00:00:00.0000000
90,4,4,260,1540,4,2012-02-23 00:00:00.0000000,2012-03-03 00:00:00.0000000,358.6275,28.6902,8.9657,396.2834,2012-03-03 00:00:00.0000000
91,4,4,258,1628,5,2012-02-23 00:00:00.0000000,2012-03-03 00:00:00.0000000,34644.2250,2771.5380,866.1056,38281.8686,2012-03-03 00:00:00.0000000
92,4,4,250,1604,4,2012-02-23 00:00:00.0000000,2012-03-03 00:00:00.0000000,257.5755,20.6060,6.4394,284.6209,2012-03-03 00:00:00.0000000
93,4,4,257,1690,5,2012-02-27 00:00:00.0000000,2012-03-07 00:00:00.0000000,146.2860,11.7029,3.6572,161.6461,2012-03-07 00:00:00.0000000
94,4,3,261,1566,5,2012-02-27 00:00:00.0000000,2012-03-07 00:00:00.0000000,102.5640,8.2051,2.5641,113.3332,2012-03-07 00:00:00.0000000
95,4,4,251,1698,5,2012-02-27 00:00:00.0000000,2012-03-07 00:00:00.0000000,150.7905,12.0632,3.7698,166.6235,2012-03-07 00:00:00.0000000
96,4,4,253,1560,5,2012-02-27 00:00:00.0000000,2012-03-07 00:00:00.0000000,13669.4250,1093.5540,341.7356,15104.7146,2012-03-07 00:00:00.0000000
97,6,4,255,1692,5,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,16393.2300,1311.4584,409.8308,18114.5192,2012-03-17 00:00:00.0000000
98,4,4,256,1696,4,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,73377.1500,5870.1720,1834.4288,81081.7508,2012-03-17 00:00:00.0000000
99,4,4,259,1504,1,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,551.8800,44.1504,13.7970,609.8274,2012-03-17 00:00:00.0000000
100,4,4,260,1544,1,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,6987.7500,559.0200,174.6938,7721.4638,2012-03-17 00:00:00.0000000
101,5,4,258,1530,2,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,28072.2750,2245.7820,701.8069,31019.8639,2012-03-17 00:00:00.0000000
102,4,4,254,1508,1,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,35394.9750,2831.5980,884.8744,39111.4474,2012-03-17 00:00:00.0000000
103,4,4,257,1694,1,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,3407.2500,272.5800,85.1813,3765.0113,2012-03-17 00:00:00.0000000
104,4,3,261,1624,2,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,28297.5000,2263.8000,707.4375,31268.7375,2012-03-17 00:00:00.0000000
105,4,4,251,1548,2,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,59.9445,4.7956,1.4986,66.2387,2012-03-17 00:00:00.0000000
106,4,4,253,1598,4,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,332.9550,26.6364,8.3239,367.9153,2012-03-17 00:00:00.0000000
107,4,4,255,1658,5,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,43878.4500,3510.2760,1096.9613,48485.6873,2012-03-17 00:00:00.0000000
108,4,4,256,1536,4,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,674.3835,53.9507,16.8596,745.1938,2012-03-17 00:00:00.0000000
109,4,4,259,1568,2,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,31398.6750,2511.8940,784.9669,34695.5359,2012-03-17 00:00:00.0000000
110,4,4,250,1648,5,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,142.4115,11.3929,3.5603,157.3647,2012-03-17 00:00:00.0000000
111,4,4,258,1646,5,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,19236.5250,1538.9220,480.9131,21256.3601,2012-03-17 00:00:00.0000000
112,4,4,254,1672,4,2012-03-08 00:00:00.0000000,2012-03-17 00:00:00.0000000,272.4435,21.7955,6.8111,301.0501,2012-03-17 00:00:00.0000000
113,5,4,257,1600,1,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,1276.2750,102.1020,31.9069,1410.2839,2012-03-18 00:00:00.0000000
114,4,3,261,1522,1,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,2003.9250,160.3140,50.0981,2214.3371,2012-03-18 00:00:00.0000000
115,4,4,251,1570,2,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,50860.4250,4068.8340,1271.5106,56200.7696,2012-03-18 00:00:00.0000000
116,4,4,253,1516,1,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,454.8600,36.3888,11.3715,502.6203,2012-03-18 00:00:00.0000000
117,4,4,255,1506,5,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,43878.4500,3510.2760,1096.9613,48485.6873,2012-03-18 00:00:00.0000000
118,5,4,256,1626,2,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,7132.1250,570.5700,178.3031,7880.9981,2012-03-18 00:00:00.0000000
119,4,4,259,1542,2,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,28343.7000,2267.4960,708.5925,31319.7885,2012-03-18 00:00:00.0000000
120,4,4,260,1610,4,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,22516.7250,1801.3380,562.9181,24880.9811,2012-03-18 00:00:00.0000000
121,4,4,250,1638,5,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,34644.2250,2771.5380,866.1056,38281.8686,2012-03-18 00:00:00.0000000
122,4,4,254,1582,4,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,266.2380,21.2990,6.6560,294.1930,2012-03-18 00:00:00.0000000
123,5,4,257,1510,5,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,143.0415,11.4433,3.5760,158.0608,2012-03-18 00:00:00.0000000
124,4,3,261,1526,2,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,28199.3250,2255.9460,704.9831,31160.2541,2012-03-18 00:00:00.0000000
125,4,4,251,1644,1,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,3713.3250,297.0660,92.8331,4103.2241,2012-03-18 00:00:00.0000000
126,4,4,253,1680,5,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,63831.0750,5106.4860,1595.7769,70533.3379,2012-03-18 00:00:00.0000000
127,4,4,255,1584,5,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,16340.3100,1307.2248,408.5078,18056.0426,2012-03-18 00:00:00.0000000
128,4,4,256,1620,5,2012-03-09 00:00:00.0000000,2012-03-18 00:00:00.0000000,5711.4750,456.9180,142.7869,6311.1799,2012-03-18 00:00:00.0000000
129,4,4,259,1666,4,2012-03-14 00:00:00.0000000,2012-03-23 00:00:00.0000000,665.0280,53.2022,16.6257,734.8559,2012-03-23 00:00:00.0000000
130,4,4,260,1592,2,2012-03-14 00:00:00.0000000,2012-03-23 00:00:00.0000000,97.9650,7.8372,2.4491,108.2513,2012-03-23 00:00:00.0000000
131,4,4,258,1618,4,2012-03-14 00:00:00.0000000,2012-03-23 00:00:00.0000000,114.4710,9.1577,2.8618,126.4905,2012-03-23 00:00:00.0000000
132,6,4,254,1612,4,2012-03-14 00:00:00.0000000,2012-03-23 00:00:00.0000000,132.6465,10.6117,3.3162,146.5744,2012-03-23 00:00:00.0000000
133,4,4,257,1586,5,2012-03-28 00:00:00.0000000,2012-04-06 00:00:00.0000000,43878.4500,3510.2760,1096.9613,48485.6873,2012-04-06 00:00:00.0000000
134,4,3,261,1500,1,2012-03-28 00:00:00.0000000,2012-04-06 00:00:00.0000000,418.9500,33.5160,10.4738,462.9398,2012-04-06 00:00:00.0000000
135,4,4,251,1656,4,2012-03-28 00:00:00.0000000,2012-04-06 00:00:00.0000000,3413.2455,273.0596,85.3311,3771.6362,2012-04-06 00:00:00.0000000
136,4,4,253,1572,1,2012-03-28 00:00:00.0000000,2012-04-06 00:00:00.0000000,461.7900,36.9432,11.5448,510.2780,2012-04-06 00:00:00.0000000
137,6,4,255,1562,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,722.4525,57.7962,18.0613,798.3100,2012-04-20 00:00:00.0000000
138,4,4,256,1662,2,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,37.0755,2.9660,0.9269,40.9684,2012-04-20 00:00:00.0000000
139,5,4,252,1682,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,21558.0750,1724.6460,538.9519,23821.6729,2012-04-20 00:00:00.0000000
140,4,4,260,1686,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,351.8550,28.1484,8.7964,388.7998,2012-04-20 00:00:00.0000000
141,4,4,258,1684,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,45172.0500,3613.7640,1129.3013,49915.1153,2012-04-20 00:00:00.0000000
142,6,4,254,1534,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,267.1830,21.3746,6.6796,295.2372,2012-04-20 00:00:00.0000000
143,4,4,257,1614,5,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,415.8000,33.2640,10.3950,459.4590,2012-04-20 00:00:00.0000000
144,5,3,261,1588,5,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,40471.2000,3237.6960,1011.7800,44720.6760,2012-04-20 00:00:00.0000000
145,4,4,250,1622,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,662.0985,52.9679,16.5525,731.6189,2012-04-20 00:00:00.0000000
146,4,4,253,1632,5,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,62092.8000,4967.4240,1552.3200,68612.5440,2012-04-20 00:00:00.0000000
147,4,4,255,1608,5,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,5948.2500,475.8600,148.7063,6572.8163,2012-04-20 00:00:00.0000000
148,4,4,256,1576,5,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,91117.9500,7289.4360,2277.9488,100685.3348,2012-04-20 00:00:00.0000000
149,4,4,259,1590,1,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,525.0000,42.0000,13.1250,580.1250,2012-04-20 00:00:00.0000000
150,4,4,260,1514,5,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,2003.6835,160.2947,50.0921,2214.0703,2012-04-20 00:00:00.0000000
151,5,4,258,1498,4,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,26455.2750,2116.4220,661.3819,29233.0789,2012-04-20 00:00:00.0000000
152,4,4,254,1674,2,2012-04-11 00:00:00.0000000,2012-04-20 00:00:00.0000000,944.3700,75.5496,23.6093,1043.5289,2012-04-20 00:00:00.0000000
153,4,4,252,1652,1,2012-05-02 00:00:00.0000000,2012-05-11 00:00:00.0000000,6993.5250,559.4820,174.8381,7727.8451,2012-05-11 00:00:00.0000000
154,4,3,261,1578,3,2012-05-02 00:00:00.0000000,2012-05-11 00:00:00.0000000,36122.6250,2889.8100,903.0656,39915.5006,2012-05-11 00:00:00.0000000
155,4,4,251,1538,5,2012-05-02 00:00:00.0000000,2012-05-11 00:00:00.0000000,37843.5750,3027.4860,946.0894,41817.1504,2012-05-11 00:00:00.0000000
156,5,4,253,1556,4,2012-05-02 00:00:00.0000000,2012-05-11 00:00:00.0000000,25531.2750,2042.5020,638.2819,28212.0589,2012-05-11 00:00:00.0000000
157,4,4,255,1554,5,2012-05-30 00:00:00.0000000,2012-06-08 00:00:00.0000000,773.9550,61.9164,19.3489,855.2203,2012-06-08 00:00:00.0000000
158,4,4,256,1688,4,2012-05-30 00:00:00.0000000,2012-06-08 00:00:00.0000000,125.7480,10.0598,3.1437,138.9515,2012-06-08 00:00:00.0000000
159,4,4,259,1580,5,2012-05-30 00:00:00.0000000,2012-06-08 00:00:00.0000000,150.7905,12.0632,3.7698,166.6235,2012-06-08 00:00:00.0000000
160,4,4,260,1496,4,2012-05-30 00:00:00.0000000,2012-06-08 00:00:00.0000000,391.5450,31.3236,9.7886,432.6572,2012-06-08 00:00:00.0000000
161,4,4,258,1494,2,2012-05-30 00:00:00.0000000,2012-06-08 00:00:00.0000000,8847.3000,707.7840,221.1825,9776.2665,2012-06-08 00:00:00.0000000
